Rank,City,Country,2019,2020,Growth_Rate_(%)
1,Tokyo,Japan,37435192,37393128,-0.11
2,Delhi,India,293991,30290936,3.03
3,Shanghai,China,263174,27058480,2.82
4,Sao Paulo,Brazil,218468,22043028,0.90
5,Mexico City,Mexico,216718,21782378,0.51
6,Dhaka,Bangladesh,283552,21005860,3.56
7,Cairo,Egypt,484964,20900604,2.03
8,Beijing,China,035456,20462610,2.13
9,Mumbai,India,1864,20411274,1.12
10,Osaka,Japan,19222664,19165340,-0.30
11,Karachi,Pakistan,157416,16093786,2.24
12,Chongqing,China,153567,15872179,3.37
13,Istanbul,Turkey,14967667,15190336,1.49
14,Buenos Aires,Argentina,157273,15153729,0.64
15,Kolkata,India,14755186,14850066,0.64
16,Lagos,Nigeria,1336,14368332,3.34
17,Kinshasa,Dr Congo,13743278,14342439,4.36
18,Manila,Philippines,13698889,13923452,1.64
19,Tianjin,China,133962,13589078,1.44
20,Rio De Janeiro,Brazil,13374275,13458075,0.63
21,Guangzhou,China,12967862,13301532,2.57
22,Lahore,Pakistan,12188196,12642423,3.73
23,Moscow,Russia,12476171,12537954,0.50
24,Shenzhen,China,12128721,12356820,1.88
25,Bangalore,India,11882666,12326532,3.74
26,Paris,France,958187,11017230,0.54
27,Bogota,Colombia,779376,10978360,1.85
28,Chennai,India,711243,10971108,2.43
29,Jakarta,Indonesia,638689,10770487,1.24
30,Lima,Peru,554712,10719188,1.56
31,Bangkok,Thailand,34,10539415,1.83
32,Hyderabad,India,9741397,10004144,2.70
33,Seoul,South Korea,9962393,9963452,0.01
34,Nagoya,Japan,95359,9552132,0.21
35,London,United Kingdom,91765,9304016,1.39
36,Chengdu,China,8971839,9135768,1.83
37,Tehran,Iran,13663,9134708,1.34
38,Nanjing,China,8545577,8847372,3.53
39,Ho Chi Minh City,Vietnam,8371428,8602317,2.76
40,Wuhan,China,8266273,8364977,1.19
41,Luanda,Angola,44735,8329798,3.54
42,New York City City,United States,83368,8283550,-0.64
43,Ahmedabad,India,7868633,8059441,2.42
44,Xi An Shaanxi,China,7722254,8000965,3.61
45,Kuala Lumpur,Malaysia,771,7996830,2.78
46,Hangzhou,China,7437993,7642147,2.74
47,Hong Kong,Hong Kong,74776,7547652,0.76
48,Dongguan,China,73780,7407852,0.40
49,Foshan,China,7257143,7326852,0.96
50,Riyadh,Saudi Arabia,665,7231447,2.27
51,Shenyang,China,612,7220104,2.14
52,Surat,India,6873756,7184590,4.52
53,Baghdad,Iraq,6974439,7144260,2.43
54,Suzhou,China,63499,7069992,5.47
55,Santiago,Chile,6723516,6767223,0.65
56,Dar Es Salaam,Tanzania,6368272,6701650,5.23
57,Pune,India,6451618,6629347,2.75
58,Madrid,Spain,65541,6617513,0.89
59,Haerbin,China,6249824,6387195,2.20
60,Toronto,Canada,61394,6196731,0.93
61,Belo Horizonte,Brazil,28319,6084430,0.93
62,Singapore,Singapore,58684,5935053,1.14
63,Khartoum,Sudan,5677921,5828858,2.66
64,Johannesburg,South Africa,5635127,5782747,2.62
65,Qingdao,China,5499117,5619977,2.20
66,Dalian,China,5458521,5617849,2.92
67,Barcelona,Spain,5541127,5585556,0.80
68,Fukuoka,Japan,55084,5528632,-0.21
69,Saint Petersburg,Russia,5426959,5467808,0.75
70,Ji Nan Shandong,China,552,5360185,2.97
71,Yangon,Myanmar,5243989,5331800,1.67
72,Zhengzhou,China,5131377,5322696,3.73
73,Alexandria,Egypt,51824,5280664,1.90
74,Abidjan,Ivory Coast,585,5202762,2.85
75,Guadalajara,Mexico,50527,5179479,1.55
76,Ankara,Turkey,17996,5117603,1.98
77,Chittagong,Bangladesh,4914633,5019824,2.14
78,Melbourne,Australia,48388,4967733,2.00
79,Sydney,Australia,4859432,4925987,1.37
80,Monterrey,Mexico,4792864,4874095,1.69
81,Addis Ababa,Ethiopia,4591983,4793699,4.39
82,Nairobi,Kenya,4556381,4734881,3.92
83,Hanoi,Vietnam,4479629,4678198,4.43
84,Brasilia,Brazil,4558991,4645843,1.91
85,Cape Town,South Africa,4524111,4617560,2.07
86,Jiddah,Saudi Arabia,4522216,4610176,1.95
87,Changsha,China,44622,4577723,2.63
88,Kunming,China,4335924,4443186,2.47
89,Changchun,China,4332263,4425761,2.16
90,Xinbei,Taiwan,43614,4398383,0.85
91,Urumqi,China,4189926,4368865,4.27
92,Shantou,China,4249233,4327316,1.84
93,Rome,Italy,42319,4257056,0.54
94,Hefei,China,41366,4241514,3.19
95,Kabul,Afghanistan,41129,4221532,2.61
96,Montreal,Canada,4195523,4220566,0.60
97,Tel Aviv,Israel,96962,4181479,2.06
98,Porto Alegre,Brazil,4115354,4137417,0.54
99,Recife,Brazil,77746,4127091,1.21
100,Ningbo,China,3965588,4116209,3.80
101,Shijiazhuang,China,321,4114393,2.07
102,Fortaleza,Brazil,25753,4073465,1.19
103,Medellin,Colombia,39666,4000263,0.84
104,Kano,Nigeria,35598,3999050,2.39
105,Yaounde,Cameroon,3822425,3992411,4.45
106,Los Angeles,United States,39669,3966940,0.00
107,Jaipur,India,3812262,3909333,2.55
108,Ekurhuleni,South Africa,3817938,3894262,2.00
109,Taiyuan Shanxi,China,377,3891127,2.20
110,Nanning,China,37432,3859608,3.10
111,Salvador,Brazil,3796634,3839076,1.12
112,Casablanca,Morocco,37193,3752357,0.98
113,Xiamen,China,3651537,3720141,1.88
114,Fuzhou Fujian,China,356,3685701,2.15
115,Curitiba,Brazil,36298,3678732,1.36
116,Lucknow,India,3589795,3676515,2.42
117,Douala,Cameroon,3536119,3663227,3.59
118,Changzhou,China,3498645,3625328,3.62
119,Wenzhou,China,3521172,3623646,2.91
120,Nanchang,China,3485364,3598421,3.24
121,Berlin,Germany,3556792,3562038,0.15
122,Kozhikode,India,3364657,3555411,5.67
123,Ibadan,Nigeria,3463855,3551961,2.54
124,Busan,South Korea,3465633,3465190,-0.01
125,Faisalabad,Pakistan,3385342,3462295,2.27
126,Tangshan Hebei,China,3285328,3425638,4.27
127,Bekasi,Indonesia,3276733,3394273,3.59
128,Malappuram,India,3169457,3391277,7.00
129,Antananarivo,Madagascar,32386,3368585,4.93
130,Kumasi,Ghana,35586,3348062,4.44
131,Asuncion,Paraguay,32791,3336562,1.75
132,Santo Domingo,Dominican Republic,32421,3317784,2.24
133,Guiyang,China,3226249,3317110,2.82
134,Campinas,Brazil,3255911,3300794,1.38
135,Kampala,Uganda,31376,3298364,5.12
136,Abuja,Nigeria,95118,3277740,5.90
137,Wuxi,China,3198981,3256020,1.78
138,Mashhad,Iran,3152482,3208336,1.77
139,Puebla,Mexico,3145456,3194848,1.57
140,Durban,South Africa,3144573,3158313,0.44
141,Athens,Greece,3154152,3153355,-0.03
142,Dakar,Senegal,565,3140442,2.73
143,Milan,Italy,31377,3140181,0.13
144,Kanpur,India,30285,3123990,0.76
145,Kuwait City,Kuwait,52493,3114553,2.03
146,Pyongyang,North Korea,864,3084244,0.76
147,Kochi,India,2969638,3082055,3.79
148,Lanzhou,China,07613,3080522,2.42
149,Thrissur,India,29761,3068164,5.05
150,Port Harcourt,Nigeria,2873322,3020232,5.11
151,Indore,India,2919295,3016713,3.34
152,Guayaquil,Ecuador,2946158,2994218,1.63
153,Izmir,Turkey,2963754,2992953,0.99
154,Kiev,Ukraine,2973335,2988176,0.50
155,Sanaa,Yemen,2874373,2972988,3.43
156,Lisbon,Portugal,29497,2956879,0.50
157,Surabaya,Indonesia,29216,2944403,0.78
158,Caracas,Venezuela,29351,2938992,0.12
159,Guatemala City,Guatemala,28912,2934841,1.51
160,Shizuoka,Japan,2911784,2922320,0.36
161,Zhongshan,China,28965,2913974,0.80
162,Nagpur,India,2849572,2893455,1.54
163,Dubai,United Arab Emirates,28379,2878344,1.60
164,Incheon,South Korea,2782612,2801039,0.66
165,Coimbatore,India,2713233,2786600,2.70
166,Cali,Colombia,27578,2781980,1.01
167,Ouagadougou,Burkina Faso,26527,2780331,4.81
168,Lusaka,Zambia,2646619,2774133,4.82
169,Port Au Prince,Haiti,24187,2773553,2.57
170,Algiers,Algeria,2729325,2767661,1.40
171,Manchester,United Kingdom,27074,2730076,0.74
172,Depok,Indonesia,2615154,2727209,4.28
173,Handan,China,2627364,2726835,3.79
174,Taibei,Taiwan,2713112,2721485,0.31
175,Goiania,Brazil,2628413,2690011,2.34
176,Chicago,United States,26939,2686530,-0.28
177,Sapporo,Japan,2667852,2669680,0.07
178,Huaian,China,2537652,2655320,4.64
179,Weifang,China,25068,2653989,3.67
180,Zibo,China,2596275,2639735,1.67
181,Bamako,Mali,2529328,2617686,3.49
182,Birmingham,United Kingdom,2588566,2607437,0.73
183,Thiruvananthapuram,India,2476928,2584752,4.35
184,Vancouver,Canada,2555884,2581079,0.99
185,Bandung,Indonesia,2557561,2580191,0.88
186,Pretoria,South Africa,2472612,2565660,3.76
187,Shaoxing,China,2444934,2540018,3.89
188,Yantai,China,2442581,2526702,3.44
189,Mbuji Mayi,Dr Congo,2412532,2525263,4.67
190,Huizhou,China,2441944,2524543,3.38
191,Tashkent,Uzbekistan,24334,2517381,1.09
192,Accra,Ghana,24758,2514005,1.57
193,Lubumbashi,Dr Congo,2377495,2478262,4.24
194,Toluca De Lerdo,Mexico,24875,2467241,2.34
195,San Juan,Puerto Rico,2451375,2448417,-0.12
196,Patna,India,2393476,2436447,1.80
197,Beirut,Lebanon,26875,2424425,0.73
198,Brisbane,Australia,2372335,2406182,1.43
199,Damascus,Syria,2353637,2392045,1.63
200,Bhopal,India,23336,2389547,2.42
201,Brazzaville,Republic Of The Congo,276,2388090,3.47
202,Luoyang,China,2311242,2387094,3.28
203,Tunis,Tunisia,2327822,2365201,1.61
204,Baku,Azerbaijan,2313138,2341443,1.22
205,Tangerang,Indonesia,22796,2338547,2.57
206,Medan,Indonesia,23522,2337958,1.19
207,Belem,Brazil,27615,2334462,1.16
208,Sendai,Japan,2317722,2327417,0.42
209,Houston,United States,232,2321960,0.07
210,Mogadishu,Somalia,2179855,2282009,4.69
211,Nantong,China,2199133,2275777,3.49
212,Barranquilla,Colombia,2245912,2272914,1.20
213,Manaus,Brazil,2216713,2260788,1.99
214,Maracaibo,Venezuela,2218693,2257999,1.77
215,Taoyuan,Taiwan,2217749,2245162,1.24
216,Rawalpindi,Pakistan,21955,2236905,1.88
217,Gujranwala,Pakistan,21689,2229220,2.78
218,Agra,India,21593,2210246,2.33
219,Peshawar,Pakistan,2133382,2202946,3.26
220,Daegu,South Korea,29367,2198962,-0.47
221,Baotou,China,21427,2190495,2.23
222,Vadodara,India,21491,2189973,1.90
223,Naples,Italy,21916,2186853,-0.23
224,Visakhapatnam,India,2124948,2174968,2.35
225,Kannur,India,279,2166906,2.83
226,Liuzhou,China,236,2165257,2.94
227,Hohhot,China,85969,2163394,3.71
228,Amman,Jordan,289,2148293,1.89
229,Xuzhou,China,998,2145970,2.22
230,Havana,Cuba,2138419,2140423,0.09
231,Tijuana,Mexico,99293,2140398,1.96
232,Esfahan,Iran,86356,2132037,2.19
233,Hiroshima,Japan,89157,2083223,-0.28
234,Brussels,Belgium,65284,2080788,0.75
235,Phnom Penh,Cambodia,115,2077757,3.16
236,Grande Vitoria,Brazil,39962,2075857,1.76
237,Nashik,India,08598,2065728,2.84
238,Mecca,Saudi Arabia,04888,2042106,1.86
239,Perth,Australia,16415,2041959,1.27
240,Vijayawada,India,1975188,2039845,3.27
241,Minsk,Belarus,16677,2028104,0.57
242,Multan,Pakistan,1972432,2015091,2.16
243,Yangzhou,China,1946377,1992773,2.38
244,Bursa,Turkey,1951161,1986268,1.80
245,Baoding,China,19324,1975790,2.26
246,Conakry,Guinea,1889233,1938272,2.60
247,Linyi Shandong,China,1889824,1936908,2.49
248,Taizhou Zhejiang,China,18762,1934847,3.11
249,Vienna,Austria,1915338,1929944,0.76
250,Aleppo,Syria,18393,1916781,4.51
251,Valencia,Venezuela,1885255,1910188,1.32
252,Putian,China,194,1907350,5.42
253,Almaty,Kazakhstan,18629,1895742,1.77
254,Baixada Santista,Brazil,1872844,1892314,1.04
255,West Yorkshire,United Kingdom,1876395,1889095,0.68
256,Haikou,China,1846864,1889071,2.29
257,Rabat,Morocco,1864851,1884802,1.07
258,Rajkot,India,1822437,1878032,3.05
259,Quito,Ecuador,1847748,1873763,1.41
260,Wuhu Anhui,China,1777511,1870281,5.22
261,Semarang,Indonesia,18326,1866492,1.85
262,Yancheng Jiangsu,China,1821247,1864424,2.37
263,Panama City,Panama,1821693,1860291,2.12
264,Daqing,China,186,1859001,2.67
265,La Paz,Bolivia,1835355,1857797,1.22
266,Ludhiana,India,18424,1856849,1.44
267,Kollam,India,17698,1851558,5.16
268,Hyderabad,Pakistan,1814914,1849829,1.92
269,Lome,Togo,17853,1827878,2.38
270,Davao City,Philippines,1784942,1825450,2.27
271,Leon De Los Aldamas,Mexico,11979,1825080,1.28
272,Lianyungang,China,1761551,1820127,3.33
273,Bucharest,Romania,18122,1803247,-0.50
274,Turin,Italy,1789115,1792163,0.17
275,Hamburg,Germany,17911,1789954,-0.07
276,Warsaw,Poland,1775933,1783251,0.41
277,Adana,Turkey,1749869,1770850,1.20
278,Budapest,Hungary,1763913,1768073,0.24
279,Zhuhai,China,17158,1759378,2.58
280,Montevideo,Uruguay,17440,1752388,0.44
281,Datong,China,11797,1745333,2.56
282,Madurai,India,14385,1734173,1.75
283,Benin City,Nigeria,1676132,1727169,3.04
284,Palembang,Indonesia,1693463,1722700,1.73
285,Lyon,France,14738,1719268,0.85
286,Santa Cruz,Bolivia,1676912,1712688,2.13
287,Matola,Mozambique,16687,1705886,2.23
288,Gaziantep,Turkey,1667798,1704118,2.18
289,Meerut,India,1665859,1696440,1.84
290,Quanzhou,China,1631153,1694076,3.86
291,Jiangmen,China,1663153,1687310,1.45
292,Sharjah,United Arab Emirates,1628932,1684649,3.42
293,Glasgow,United Kingdom,1666632,1673332,0.40
294,Varanasi,India,1639138,1664942,1.57
295,Novosibirsk,Russia,16185,1663748,0.82
296,Xiangyang,China,1631785,1657726,1.59
297,Shiraz,Iran,1627939,1651362,1.44
298,Raipur,India,1581479,1642169,3.84
299,Phoenix,United States,163,1633020,0.00
300,Stockholm,Sweden,137,1632798,1.54
301,Mosul,Iraq,1577979,1629932,3.29
302,Anshan,China,16135,1629166,0.97
303,Can Tho,Vietnam,15519,1617602,5.69
304,La Laguna,Mexico,15533,1614854,3.98
305,Tabriz,Iran,1596171,1611133,0.94
306,Cixi,China,1544524,1609221,4.19
307,Marseille,France,13434,1608236,0.30
308,Auckland,New Zealand,15828,1606564,1.55
309,Jilin,China,1585383,1603332,1.13
310,Jamshedpur,India,15577,1599434,1.84
311,Srinagar,India,15493,1585774,2.32
312,Philadelphia,United States,158,1584540,0.03
313,Ulaanbaatar,Mongolia,1552654,1584358,2.04
314,Makassar,Indonesia,15525,1583553,1.77
315,Karaj,Iran,15813,1580413,-0.06
316,Yinchuan,China,15944,1579049,3.14
317,Cordoba,Argentina,15598,1571944,0.78
318,Daejon,South Korea,1561931,1565656,0.24
319,San Antonio,United States,15472,1564490,1.11
320,Qiqihaer,China,15363,1559581,1.48
321,Aurangabad,India,1517148,1558412,2.72
322,Muscat,Oman,11635,1549729,3.20
323,Yichang,China,149,1548423,3.91
324,Calgary,Canada,1512539,1547484,2.31
325,Batam,Indonesia,1473274,1546064,4.94
326,Xining,China,14953,1539437,2.95
327,Munich,Germany,1521417,1538302,1.11
328,Gaoxiong,Taiwan,1534349,1537640,0.21
329,Qinhuangdao,China,1483631,1535223,3.48
330,Rosario,Argentina,15253,1532128,1.45
331,Harare,Zimbabwe,1521311,1529920,0.57
332,Hengyang,China,1479887,1527107,3.19
333,Gwangju,South Korea,1519448,1521506,0.14
334,Ciudad Juarez,Mexico,1499224,1519214,1.33
335,Monrovia,Liberia,14626,1517235,3.42
336,Yekaterinburg,Russia,14933,1503812,0.70
337,Tiruppur,India,1432643,1496389,4.45
338,Jining Shandong,China,1471411,1494249,1.55
339,Medina,Saudi Arabia,1459468,1488782,2.01
340,Grande Sao Luis,Brazil,1472956,1485763,0.87
341,Abu Dhabi,United Arab Emirates,14557,1482816,2.12
342,Jodhpur,India,1434312,1471900,2.62
343,Edmonton,Canada,1429743,1461182,2.20
344,Anyang,China,1393965,1460114,4.75
345,Kananga,Dr Congo,1395418,1458400,4.51
346,Natal,Brazil,1426562,1456844,2.12
347,Jabalpur,India,1429683,1449787,1.41
348,Tegucigalpa,Honduras,13162,1444085,2.92
349,Suqian,China,1357818,1440060,6.06
350,Ranchi,India,195,1439195,2.50
351,Huainan,China,1414863,1437838,1.62
352,Mandalay,Myanmar,15821,1437554,2.26
353,Zhangjiakou,China,104,1434649,2.44
354,Asansol,India,144,1431260,1.48
355,Kharkiv,Ukraine,1432345,1429004,-0.23
356,Chaozhou,China,18284,1428383,1.43
357,Kathmandu,Nepal,13768,1423515,3.45
358,N Djamena,Chad,1371524,1422547,3.72
359,Onitsha,Nigeria,1348529,1414790,4.91
360,San Diego,United States,195,1409570,0.00
361,San Jose,Costa Rica,1378546,1399629,1.53
362,Chon Buri,Thailand,1379856,1398645,1.36
363,Belgrade,Serbia,1393717,1397939,0.30
364,Zurich,Switzerland,13892,1395356,0.89
365,Allahabad,India,1373594,1393723,1.47
366,Ottawa,Canada,1378151,1393086,1.08
367,Kota,India,13420,1386877,3.30
368,Gwalior,India,1347582,1378375,2.29
369,Joao Pessoa,Brazil,1362689,1378249,1.14
370,Amritsar,India,1355875,1377371,1.59
371,Basra,Iraq,1324763,1352210,2.07
372,Taizhou Jiangsu,China,13145,1348056,2.55
373,Copenhagen,Denmark,1333888,1346485,0.94
374,Dallas,United States,13435,1345340,0.13
375,Queretaro,Mexico,1313522,1339103,1.95
376,Taian Shandong,China,1314249,1338828,1.87
377,Adelaide,Australia,1328119,1336403,0.62
378,Homs,Syria,1314355,1335804,1.63
379,Yiwu,China,12711,1334356,4.19
380,Bucaramanga,Colombia,1313376,1331453,1.38
381,Dhanbad,India,13166,1331186,1.15
382,Konya,Turkey,1299368,1328136,2.21
383,Maceio,Brazil,18693,1323039,1.10
384,Taizhong,Taiwan,12252,1320591,1.41
385,Nouakchott,Mauritania,1258973,1314636,4.42
386,Porto,Portugal,195,1312947,0.24
387,Suweon,South Korea,1288887,1311321,1.74
388,Samut Prakan,Thailand,12893,1306937,1.36
389,Prague,Czech Republic,12984,1305737,0.53
390,Helsinki,Finland,1292232,1304851,0.98
391,Weihai,China,12012,1304315,3.52
392,Cochabamba,Bolivia,12649,1303907,2.62
393,Joinville,Brazil,1286622,1303141,1.28
394,Hai Phong,Vietnam,1259429,1300088,3.23
395,Mombasa,Kenya,1253811,1295975,3.36
396,Niamey,Niger,1251511,1291848,3.22
397,Qom,Iran,1264584,1287937,1.85
398,Zhanjiang,China,1258677,1286854,2.24
399,Fushun Liaoning,China,1285571,1285387,-0.01
400,Ganzhou,China,1221386,1285039,5.21
401,Sofia,Bulgaria,1276937,1280968,0.32
402,Zunyi,China,12484,1280960,2.60
403,Dongying,China,12313,1276028,2.88
404,Mianyang Sichuan,China,1251619,1275851,1.94
405,Kaifeng,China,12265,1274287,3.58
406,Kazan,Russia,1263412,1272063,0.68
407,Rizhao,China,1228374,1270948,3.47
408,Kisangani,Dr Congo,121,1261310,3.98
409,Jiaxing,China,1199747,1259844,5.01
410,Nizhniy Novgorod,Russia,12885,1257754,-0.25
411,Nanchong,China,12152,1257726,3.49
412,Bareilly,India,12234,1255287,2.47
413,Antalya,Turkey,12191,1253872,2.85
414,Port Elizabeth,South Africa,1241941,1253742,0.95
415,Ad Dammam,Saudi Arabia,1225235,1252523,2.23
416,Ahvaz,Iran,1227916,1244250,1.33
417,Shiyan,China,11843,1241450,3.30
418,Florianopolis,Brazil,1218478,1239331,1.71
419,Dublin,Ireland,1214666,1228179,1.11
420,Chelyabinsk,Russia,12228,1227795,0.47
421,Fes,Morocco,13655,1224080,1.70
422,San Luis Potosi,Mexico,1197894,1216564,1.56
423,Barquisimeto,Venezuela,11421,1214362,1.08
424,Pointe Noire,Republic Of The Congo,1175513,1214281,3.30
425,Yingkou,China,11751,1214047,3.26
426,Aligarh,India,1176576,1210554,2.89
427,Mysore,India,1185469,1209836,2.06
428,Durg Bhilainagar,India,1191681,1207637,1.34
429,Pekan Baru,Indonesia,1171388,1204883,2.86
430,Maoming,China,11342,1204716,2.94
431,Maracay,Venezuela,11295,1203227,1.09
432,Freetown,Sierra Leone,1168424,1201900,2.87
433,Tanger,Morocco,1156739,1197923,3.56
434,Moradabad,India,1161757,1197000,3.03
435,Liuan,China,1129312,1195907,5.90
436,Tengzhou,China,11479,1189963,4.19
437,Zhuzhou,China,1165486,1186912,1.84
438,Omsk,Russia,1183262,1182339,-0.08
439,Zhenjiang Jiangsu,China,1148451,1173816,2.21
440,Mendoza,Argentina,1153152,1172619,1.69
441,Suzhou,China,11154,1169932,4.55
442,Liuyang,China,94294,1169044,6.83
443,Ruian,China,1128967,1168983,3.54
444,Chiang Mai,Thailand,11511,1166978,1.36
445,Astana,Kazakhstan,1117621,1165983,4.33
446,Tripoli,Libya,11918,1165085,0.36
447,Chifeng,China,1134936,1164793,2.63
448,Tiruchirappalli,India,1148865,1164668,1.38
449,Baoji,China,1131222,1164665,2.96
450,Samara,Russia,1166932,1163296,-0.31
451,Bhubaneswar,India,1131484,1162886,2.78
452,Merida,Mexico,1141555,1161475,1.74
453,Puning,China,1127512,1160045,2.89
454,Pingdingshan Henan,China,1126438,1159981,2.98
455,Bogor,Indonesia,1136981,1159719,2.00
456,Benxi,China,1139256,1157413,1.59
457,Amsterdam,Netherlands,11339,1148972,0.76
458,Chandigarh,India,1128743,1148472,1.75
459,Haifa,Israel,11844,1147431,0.58
460,Jieyang,China,976,1146758,4.47
461,Jinzhou,China,1122681,1145359,2.02
462,Xiangtan Hunan,China,1115751,1142976,2.44
463,Nanyang Henan,China,11155,1142799,2.47
464,Huaibei,China,18939,1141734,2.96
465,Krasnoyarsk,Russia,1124674,1137494,1.14
466,Ufa,Russia,1132656,1136291,0.32
467,Rostov On Don,Russia,1135196,1136201,0.09
468,Uyo,Nigeria,72932,1135775,5.86
469,Guilin,China,1114826,1134393,1.76
470,Kigali,Rwanda,94796,1132101,3.41
471,Islamabad,Pakistan,964,1129198,3.12
472,Da Nang,Vietnam,94576,1125316,2.81
473,Jinhua,China,73355,1122440,4.57
474,Lilongwe,Malawi,74695,1121720,4.38
475,Mexicali,Mexico,11419,1120872,1.77
476,Mwanza,Tanzania,743,1120430,5.63
477,Cologne,Germany,17731,1118789,1.00
478,Guwahati,India,99613,1116740,1.56
479,Hubli Dharwad,India,97545,1116728,1.75
480,Kaduna,Nigeria,966,1113210,1.50
481,Maputo,Mozambique,14314,1110477,0.56
482,Aguascalientes,Mexico,841,1106453,1.69
483,San Salvador,El Salvador,15662,1105766,0.01
484,Salem,India,81911,1102463,1.90
485,Quetta,Pakistan,245,1099546,2.74
486,Bandar Lampung,Indonesia,68768,1091512,2.13
487,Zaozhuang,China,74933,1087745,1.19
488,Yerevan,Armenia,83323,1086275,0.27
489,Binzhou,China,42112,1083867,4.01
490,Yongin,South Korea,61544,1083345,2.05
491,Aba,Nigeria,517,1081466,2.90
492,Xinxiang,China,62361,1081031,1.76
493,Bukavu,Dr Congo,24513,1078002,5.22
494,Tbilisi,Georgia,77346,1077833,0.05
495,Liupanshui,China,21347,1077317,5.48
496,Cuernavaca,Mexico,592,1075022,1.50
497,Perm,Russia,66952,1071419,0.42
498,Goyang,South Korea,54325,1069196,1.41
499,Voronezh,Russia,631,1067719,0.54
500,Managua,Nicaragua,55472,1063698,0.78
501,Pizhou,China,736,1063231,5.19
502,Lille,France,58458,1063085,0.44
503,Cartagena,Colombia,54694,1062622,0.75
504,Yueqing,China,21693,1060702,3.82
505,Shimkent,Kazakhstan,4,1057936,3.66
506,Tasikmalaya,Indonesia,9998,1056485,5.70
507,Abomey Calavi,Benin,99,1056440,6.60
508,Changwon,South Korea,57734,1055974,-0.17
509,Chihuahua,Mexico,33378,1054766,2.07
510,Saharanpur,India,12993,1054102,4.06
511,Jalandhar,India,33756,1053670,1.93
512,Panjin,China,951,1053125,2.15
513,Nnewi,Nigeria,989343,1050860,6.22
514,Antwerp,Belgium,373,1042471,0.50
515,Oslo,Norway,26758,1041377,1.42
516,Luohe,China,982185,1039941,5.88
517,Diyarbakir,Turkey,18977,1039492,2.01
518,Bishkek,Kyrgyzstan,17166,1038429,2.09
519,Jingzhou Hubei,China,22741,1038296,1.52
520,Wenling,China,015,1037164,3.30
521,Fuyang,China,06913,1036162,2.90
522,Solapur,India,21948,1031037,0.89
523,Shangrao,China,015,1028518,2.67
524,San Jose,United States,276,1027690,0.00
525,Kermanshah,Iran,04561,1025740,2.11
526,Toulouse,France,593,1024166,1.34
527,Johor Bahru,Malaysia,03485,1023900,2.03
528,Zhaoqing,China,996546,1023777,2.73
529,Teresina,Brazil,129,1021229,1.01
530,Siliguri,India,9836,1020303,3.73
531,Ma'anshan,China,986525,1019389,3.33
532,Mersin,Turkey,997131,1016019,1.89
533,Bien Hoa,Vietnam,9581,1013064,3.31
534,Bujumbura,Burundi,954424,1012996,6.14
535,Kirkuk,Iraq,99,1012614,1.66
536,Samarinda,Indonesia,979359,1010413,3.17
537,Rotterdam,Netherlands,08667,1010026,0.13
538,Yueyang,China,9933,1009534,1.05
539,Aracaju,Brazil,991254,1009380,1.83
540,Odesa,Ukraine,293,1009289,-0.10
541,Volgograd,Russia,09238,1004688,-0.45
542,Marrakech,Morocco,988968,1002709,1.39
543,Tampico,Mexico,986228,1001278,1.53
544,Austin,United States,9788,995347,1.68
545,Bazhong,China,924575,991820,7.27
546,Fuzhou Jiangxi,China,91,989880,4.18
547,Hargeysa,Somalia,9458,988716,4.53
548,Huzhou,China,9993,988351,2.85
549,Leshan,China,9555,986923,3.77
550,Denpasar,Indonesia,965359,986853,2.23
551,Dezhou,China,9524,986192,3.52
552,San Miguel De Tucuman,Argentina,97,985656,1.50
553,Saltillo,Mexico,9662,983784,1.76
554,Valparaiso,Chile,975179,983751,0.88
555,Aden,Yemen,9374,980455,3.17
556,Padang,Indonesia,964358,980455,1.67
557,Cebu City,Philippines,967436,980070,1.31
558,Acapulco De Juarez,Mexico,966958,979381,1.28
559,Kayseri,Turkey,9262,973506,1.38
560,Bobo Dioulasso,Burkina Faso,9243,972124,5.17
