Rank,City,Country,2019,2020,Growth_Rate_(%)
561,Xiongan,China,892142,969535,8.67
562,Bordeaux,France,957383,968993,1.21
563,Xuchang,China,9373,968135,3.65
564,Songkhla,Thailand,953612,966597,1.36
565,Asmara,Eritrea,928758,962985,3.69
566,Nonthaburi,Thailand,949762,962694,1.36
567,Chenzhou,China,914372,959881,4.98
568,Warangal,India,9365,959658,2.47
569,Dnipro,Ukraine,963113,957345,-0.60
570,Krasnodar,Russia,938135,957214,2.03
571,Khulna,Bangladesh,962845,953745,-0.95
572,Ilorin,Nigeria,928632,949866,2.29
573,Jixi Heilongjiang,China,936975,949646,1.35
574,Morelia,Mexico,9374,948793,1.36
575,Sekondi Takoradi,Ghana,,945519,5.05
576,Cancun,Mexico,9158,943922,3.15
577,Seongnam,South Korea,945746,943768,-0.21
578,Qujing,China,7828,942342,3.80
579,Nice,France,9410,942208,0.04
580,Changshu,China,8940,938683,4.93
581,Ikorodu,Nigeria,8872,937615,5.68
582,Xintai,China,55,936382,3.41
583,Cucuta,Colombia,9247,933380,1.12
584,Blantyre Limbe,Malawi,4758,932263,3.04
585,Jerusalem,Israel,9197,931756,1.34
586,Pingxiang Jiangxi,China,4694,928895,2.68
587,Southampton,United Kingdom,919843,927916,0.88
588,Fort Worth,United States,9585,925954,1.80
589,Mudanjiang,China,9032,925522,1.70
590,Agadir,Morocco,5649,923552,1.98
591,Arequipa,Peru,911311,922999,1.28
592,Nyala,Sudan,8737,922532,5.07
593,Hamah,Syria,65,921502,1.63
594,Jacksonville,United States,9117,920577,1.00
595,Tshikapa,Dr Congo,86,919192,5.77
596,Dehradun,India,894925,918946,2.68
597,Veracruz,Mexico,66,918529,1.26
598,Yichun Jiangxi,China,859349,918051,6.83
599,Ciudad Guayana,Venezuela,0874,917700,1.87
600,Zamboanga City,Philippines,5281,917477,1.35
601,Dushanbe,Tajikistan,893826,915712,2.45
602,Pathum Thani,Thailand,1466,913741,1.36
603,Jiujiang,China,889447,913212,2.67
604,Ulsan,South Korea,9162,910330,0.02
605,Laiwu,China,8451,907839,3.11
606,Rajshahi,Bangladesh,893214,907732,1.63
607,Columbus,United States,898553,906237,0.86
608,Donetsk,Ukraine,911981,905530,-0.71
609,San Pedro Sula,Honduras,876445,902751,3.00
610,Bengbu,China,889163,901773,1.42
611,Liverpool,United Kingdom,897218,901708,0.50
612,Oran,Algeria,889644,899182,1.07
613,Reynosa,Mexico,82,899084,2.06
614,Charlotte,United States,8858,898902,1.49
615,Villahermosa,Mexico,883336,898461,1.71
616,West Rand,South Africa,886343,897609,1.27
617,Campo Grande,Brazil,886361,896864,1.18
618,Jos,Nigeria,875746,895288,2.23
619,Bergamo,Italy,883295,892089,1.00
620,Zhucheng,China,855579,891494,4.20
621,Guigang,China,864577,891173,3.08
622,Guiping,China,843956,891158,5.59
623,Yangjiang,China,867562,890013,2.59
624,Bangui,Central African Republic,869599,889231,2.26
625,Malang,Indonesia,878589,886620,0.91
626,Londrina,Brazil,871682,885516,1.59
627,La Plata,Argentina,873918,884054,1.16
628,Indianapolis,United States,876384,881808,0.62
629,Misratah,Libya,841267,881319,4.76
630,Antipolo,Philippines,85,881018,2.55
631,Concepcion,Chile,869186,880722,1.33
632,Chengde,China,839566,880494,4.87
633,Dandong,China,865354,877258,1.38
634,San Francisco,United States,874961,874961,0.00
635,Najaf,Iraq,8467,873744,3.19
636,Owerri,Nigeria,838554,872604,4.06
637,Zhangzhou,China,841966,871690,3.53
638,Tianmen,China,8064,869837,3.54
639,Hermosillo,Mexico,851738,867885,1.90
640,Trujillo,Peru,851312,864633,1.56
641,Bhiwandi,India,845711,859435,1.62
642,Linfen,China,824417,858103,4.09
643,Xinyu,China,823491,857567,4.14
644,Deyang,China,8285,857306,3.50
645,Hengshui,China,8969,856705,4.35
646,Warri,Nigeria,8163,855941,5.14
647,Liaoyang,China,8417,855663,1.65
648,Guntur,India,833782,854488,2.48
649,Soshanguve,South Africa,8932,853347,1.48
650,Sylhet,Bangladesh,813538,851808,4.70
651,Palermo,Italy,852454,851146,-0.15
652,Leiyang,China,4564,851071,5.78
653,Tainan,Taiwan,843219,849996,0.80
654,Nampula,Mozambique,8633,848096,4.62
655,Tuxtla Gutierrez,Mexico,83,847924,2.09
656,Erbil,Iraq,833237,846374,1.58
657,Changzhi,China,824378,846365,2.67
658,Ashgabat,Turkmenistan,8265,846255,2.20
659,Taiz,Yemen,8153,845154,3.66
660,Bahawalpur,Pakistan,8047,844673,3.00
661,Jiangyin,China,8972,843292,3.99
662,Tyumen,Russia,817265,843196,3.17
663,Saratov,Russia,844777,842680,-0.25
664,Fuxin,China,828643,839189,1.27
665,Culiacan,Mexico,821781,839054,2.10
666,Hufuf Mubarraz,Saudi Arabia,8274,836727,1.41
667,Puducherry,India,815939,836003,2.46
668,Libreville,Gabon,8238,834204,1.25
669,Valencia,Spain,831815,833724,0.23
670,Bucheon,South Korea,835259,832093,-0.38
671,Xingtai,China,812888,831175,2.25
672,Changde,China,6331,830010,2.94
673,Huangshi,China,812772,828324,1.91
674,Lubango,Angola,786713,828248,5.28
675,Shangqiu,China,2826,826598,2.96
676,Quebec City,Canada,8752,826109,0.65
677,Banghazi,Libya,811293,823974,1.56
678,Luzhou,China,813315,822996,1.19
679,Baishan,China,783588,821967,4.90
680,Firozabad,India,796264,821043,3.11
681,Winnipeg,Canada,8419,816593,1.01
682,Yibin,China,797639,814166,2.07
683,Ipoh,Malaysia,799785,813553,1.72
684,Liling,China,767636,812975,5.91
685,Thessaloniki,Greece,811435,812166,0.09
686,Newcastle Upon Tyne,United Kingdom,5364,809481,0.51
687,Bologna,Italy,2849,805986,0.39
688,Niigata,Japan,6723,804298,-0.30
689,Xinyang,China,777817,797369,2.51
690,Heze,China,786745,795246,1.08
691,Yangquan,China,7748,794262,2.50
692,Barcelona Puerto La Cruz,Venezuela,782636,793641,1.41
693,Orumiyeh,Iran,7777,793044,1.96
694,Xinghua,China,766483,791297,3.24
695,Nottingham,United Kingdom,781151,787610,0.83
696,Maiduguri,Nigeria,772394,786485,1.82
697,Sorocaba,Brazil,7754,785997,1.28
698,Eskisehir,Turkey,765242,783669,2.41
699,Haicheng,China,772266,783484,1.45
700,Xiaogan,China,7482,783483,3.02
701,Yongzhou,China,753931,781940,3.72
702,Cabinda,Angola,736984,777697,5.52
703,Zhuji,China,758115,777536,2.56
704,Frankfurt,Germany,768616,777156,1.11
705,Xalapa,Mexico,7644,775620,1.52
706,Huludao,China,7634,775322,1.93
707,Bogra,Bangladesh,7299,775034,6.23
708,Vereeniging,South Africa,769425,774031,0.60
709,Nakhon Ratchasima,Thailand,764883,774022,1.19
710,Umuahia,Nigeria,731563,773822,5.78
711,Enugu,Nigeria,752323,772872,2.73
712,Bikaner,India,757726,771878,1.87
713,Krakow,Poland,7631,768731,0.09
714,Jiaozuo,China,758858,766770,1.04
715,Hamilton,Canada,7628,766688,0.51
716,Tianshui,China,739871,765372,3.45
717,Seattle,United States,753675,765115,1.52
718,Cherthala,India,726232,764135,5.22
719,Kuerle,China,7193,761329,5.80
720,Shaoguan,China,756232,761249,0.66
721,Liaocheng,China,743338,760885,2.36
722,Ansan,South Korea,758858,760764,0.25
723,Gorakhpur,India,7524,758214,0.96
724,Quzhou,China,7161,757655,5.81
725,Cagayan De Oro City,Philippines,736874,753138,2.21
726,Amravati,India,7529,752189,1.57
727,Huaihua,China,718467,751803,4.64
728,Nellore,India,7297,751034,3.01
729,Taixing,China,7253,747588,3.07
730,Dasmarinas,Philippines,7287,747208,2.54
731,Gebze,Turkey,7186,744674,3.62
732,Kumamoto,Japan,743559,742612,-0.13
733,Bozhou,China,73,742150,4.48
734,Cuttack,India,7332,742011,1.20
735,Langfang,China,715581,739632,3.36
736,Sulaimaniya,Iraq,7411,739182,2.61
737,Ar Rayyan,Qatar,715997,737903,3.06
738,Kunshan,China,58,737654,4.56
739,Zigong,China,728743,737291,1.17
740,Bur Sa'id,Egypt,723998,737000,1.80
741,Zaporizhzhya,Ukraine,7538,736167,-0.59
742,Qingyuan,China,7253,734856,1.25
743,Jincheng,China,3498,733879,4.32
744,Banjarmasin,Indonesia,77,732005,1.62
745,Zaragoza,Spain,727371,730828,0.48
746,Sheffield,United Kingdom,7262,730158,0.70
747,Zarqa,Jordan,7197,729220,1.32
748,Anqing,China,9177,726950,2.51
749,Zaria,Nigeria,7112,726172,1.00
750,Belgaum,India,7155,724747,1.78
751,Okayama,Japan,724948,724696,-0.03
752,Lviv,Ukraine,7252,723758,-0.20
753,Meishan,China,6942,723267,3.76
754,Sao Jose Dos Campos,Brazil,711673,721795,1.42
755,Danyang,China,693349,718649,3.65
756,Cheongju,South Korea,713273,717027,0.53
757,Muzaffarnagar,India,6953,716748,3.73
758,Gaomi,China,686786,716261,4.29
759,Zhumadian,China,683882,716002,4.70
760,Jiamusi,China,5995,715965,1.41
761,Malegaon,India,95,715605,2.22
762,Hanchuan,China,686163,715218,4.23
763,Benguela,Angola,686121,715130,4.23
764,Xianyang Shaanxi,China,76,715007,1.09
765,Ribeirao Preto,Brazil,37,714111,1.48
766,Oshogbo,Nigeria,698844,713677,2.12
767,Gaza,Palestine,693323,713621,2.93
768,Shaoyang,China,697769,713559,2.26
769,Mangalore,India,3413,713357,1.41
770,Rasht,Iran,3698,712715,1.28
771,Washington,United States,5749,709951,0.60
772,Linhai,China,685239,708981,3.46
773,Buffalo City,South Africa,0466,708559,1.16
774,Florence,Italy,7728,708357,0.09
775,Panzhihua,China,698149,707134,1.29
776,Erduosi Ordoss,China,682677,706657,3.51
777,Denver,United States,5576,705576,0.00
778,Sialkot,Pakistan,6447,705121,2.13
779,Zanzibar,Tanzania,676814,705078,4.18
780,Oaxaca De Juarez,Mexico,694297,704559,1.48
781,Seville,Spain,5325,703790,-0.22
782,Tongliao,China,683849,702280,2.70
783,Jammu,India,696856,702085,0.75
784,Bhavnagar,India,689884,700367,1.52
785,Tolyatti,Russia,4137,700252,-0.55
786,Sargodha,Pakistan,6886,700095,1.75
787,Suining Sichuan,China,682654,699679,2.49
788,Gold Coast,Australia,6874,699226,1.71
789,The Hague,Netherlands,691389,697564,0.89
790,Tongling,China,6771,696639,2.87
791,Wuzhou,China,677691,696630,2.79
792,Kottayam,India,6553,696061,6.75
793,Yulin Shaanxi,China,685262,695614,1.51
794,Yanji,China,6733,695165,3.24
795,Kayamkulam,India,6624,694892,4.89
796,Maturin,Venezuela,6377,694716,3.63
797,Boston,United States,6920,694053,0.21
798,Lokoja,Nigeria,6437,692050,7.56
799,Longyan,China,6986,691987,1.62
800,Cotonou,Benin,687732,691949,0.61
801,Nanded Waghala,India,674189,689771,2.31
802,Taif,Saudi Arabia,682959,688693,0.84
803,Uberlandia,Brazil,677984,686896,1.31
804,Bacoor,Philippines,668419,686398,2.69
805,Bristol,United Kingdom,678612,686210,1.12
806,Kitwe,Zambia,663455,685908,3.38
807,Zagreb,Croatia,685233,684878,-0.05
808,Salta,Argentina,672335,684751,1.85
809,Padova,Italy,679147,683604,0.66
810,El Paso,United States,681728,683581,0.27
811,Vientiane,Laos,6761,682542,1.41
812,Dazhou,China,658956,682342,3.55
813,Anqiu,China,6422,682299,6.24
814,Bali,Indonesia,6685,682065,2.02
815,Celaya,Mexico,6721,680971,1.26
816,Cheonan,South Korea,6256,679802,1.42
817,Genoa,Italy,6827,679613,-0.42
818,Tirupati,India,6539,679456,3.90
819,Bunia,Dr Congo,636625,679418,6.72
820,Yuyao,China,6603,678841,2.54
821,Yan'an,China,646393,678619,4.99
822,Jundiai,Brazil,668381,678521,1.52
823,Nantes,France,669843,677766,1.18
824,Liege,Belgium,6753,677589,0.32
825,Dongtai,China,655472,676996,3.28
826,Lodz,Poland,682458,676830,-0.82
827,Durgapur,India,664915,675384,1.57
828,Yuncheng,China,646283,675082,4.46
829,Nashville,United States,68,674634,0.57
830,Dengzhou,China,642552,673626,4.84
831,Gulbarga,India,658535,673027,2.20
832,Huambo,Angola,656977,671413,2.20
833,Al Hudaydah,Yemen,649129,668899,3.05
834,Buraydah,Saudi Arabia,652396,668775,2.51
835,Ezhou,China,6638,668405,1.11
836,Pontianak,Indonesia,655595,667910,1.88
837,Detroit,United States,6031,667085,-0.44
838,Merca,Somalia,637357,666370,4.55
839,Mar Del Plata,Argentina,6594,665707,0.95
840,Akure,Nigeria,641733,665524,3.71
841,Kurnool,India,644449,665186,3.22
842,Malanje,Angola,626862,665150,6.11
843,Santiago,Dominican Republic,657179,664575,1.13
844,Jeonju,South Korea,6628,663145,0.04
845,Yuxi,China,6311,662863,5.03
846,Oklahoma City,United States,6557,662202,1.09
847,Las Vegas,United States,651319,659410,1.24
848,Portland,United States,654741,658645,0.60
849,Tabuk,Saudi Arabia,6474,657277,1.52
850,Zhangjiagang,China,627897,656036,4.48
851,Lattakia,Syria,645186,655714,1.63
852,Amara,Iraq,631442,655663,3.84
853,Taicang,China,628692,654441,4.10
854,Busto Arsizio,Italy,65,654258,0.57
855,General Santos City,Philippines,6361,652723,1.93
856,Macao,Macau,64,651875,1.52
857,Izhevsk,Russia,6579,651338,0.04
858,Memphis,United States,6573,651042,-0.00
859,Zhoukou,China,628346,650060,3.46
860,Ibb,Yemen,7531,648889,6.81
861,Zhoushan,China,635411,647419,1.89
862,Neijiang,China,638674,645874,1.13
863,Denizli,Turkey,628432,644782,2.60
864,Jamnagar,India,639662,644738,0.79
865,Qinzhou,China,626663,644359,2.82
866,Jhansi,India,632166,642709,1.67
867,Samsun,Turkey,623644,642592,3.04
868,Chongjin,North Korea,639743,642447,0.42
869,Tamale,Ghana,6116,641911,4.92
870,Wroclaw,Poland,6585,641401,0.13
871,Doha,Qatar,637347,641380,0.63
872,Sokoto,Nigeria,621694,641249,3.15
873,Renqiu,China,615759,640271,3.98
874,Barnaul,Russia,639126,639783,0.10
875,Loudi,China,6115,639167,4.10
876,Hegang,China,633811,638855,0.80
877,Irkutsk,Russia,6358,638843,0.47
878,As Suways,Egypt,627455,638229,1.72
879,Bulawayo,Zimbabwe,638467,638188,-0.04
880,Bijie,China,612321,637795,4.16
881,Be'er Sheva,Israel,6352,637539,1.03
882,Chiclayo,Peru,6292,637255,1.27
883,Venezia,Italy,636244,637245,0.16
884,Ankang,China,5136,636293,5.15
885,Erode,India,622398,634977,2.02
886,Manama,Bahrain,0433,634508,5.68
887,Goma,Dr Congo,5998,634197,5.84
888,Bokaro Steel City,India,625824,633551,1.23
889,Pachuca De Soto,Mexico,66,633453,2.07
890,Khabarovsk,Russia,629682,633151,0.55
891,Stuttgart,Germany,631453,632692,0.20
892,Puyang,China,60,632347,3.66
893,Duesseldorf,Germany,628459,631942,0.55
894,Longhai,China,6799,631203,4.02
895,Durango,Mexico,619119,630982,1.92
896,Riga,Latvia,6338,630692,-0.49
897,Belfast,United Kingdom,6267,630632,0.62
898,Wuhai,China,6156,630295,2.35
899,Safaqis,Tunisia,624146,630175,0.97
900,Verona,Italy,6258,629658,0.60
901,Tongxiang,China,22,629527,4.53
902,Jambi,Indonesia,615859,626192,1.68
903,Haimen,China,6263,626067,3.27
904,Hezhou,China,595675,625304,4.97
905,Sanya,China,5586,625290,3.25
906,Ulyanovsk,Russia,625837,624896,-0.15
907,Raurkela,India,6147,622636,1.28
908,Bari,Italy,622287,622377,0.01
909,Seregno,Italy,614571,619871,0.86
910,Kolhapur,India,6128,619358,1.06
911,Kryvyi Rih,Ukraine,623894,618706,-0.83
912,Nasiriyah,Iraq,0113,616994,2.81
913,Louisville,United States,617638,616781,-0.14
914,Yulin Guangxi,China,5882,613668,1.29
915,Ajmer,India,6616,613617,1.15
916,Bacolod,Philippines,2459,613437,1.82
917,Geneva,Switzerland,6436,613373,1.14
918,Colombo,Sri Lanka,6158,612535,1.05
919,Yaroslavl,Russia,612247,612365,0.02
920,Kuching,Malaysia,2427,611566,1.52
921,Al Ain,United Arab Emirates,598368,610887,2.09
922,Gothenburg,Sweden,65,610521,1.24
923,Zahedan,Iran,3634,609873,1.03
924,Vladivostok,Russia,99,609754,-0.03
925,San Jose Del Monte,Philippines,0251,607692,1.24
926,Ujjain,India,596869,607055,1.71
927,Brighton,United Kingdom,1574,606909,0.89
928,Bandar Abbas,Iran,585287,606633,3.65
929,Jubayl,Saudi Arabia,5792,605743,4.57
930,Herat,Afghanistan,5756,605575,5.17
931,Hanzhong,China,592759,605327,2.12
932,Miluo,China,568421,604159,6.29
933,Hillah,Iraq,594261,604149,1.66
934,Feira De Santana,Brazil,593981,602128,1.37
935,Anshun,China,5847,600121,3.32
936,Bilaspur,India,583279,599812,2.83
937,Makhachkala,Russia,598979,599792,0.14
938,Bissau,Guinea Bissau,578829,599714,3.61
939,Jinzhong,China,581798,599611,3.06
940,Patiala,India,581771,599186,2.99
941,Yichun Heilongjiang,China,5399,598465,-1.15
942,Bauchi,Nigeria,575617,597679,3.83
943,Tlaxcala,Mexico,586129,596362,1.75
944,Tomsk,Russia,54,595642,0.87
945,Skopje,Macedonia,589751,595275,0.94
946,Siping,China,584669,594482,1.68
947,Nay Pyi Taw,Myanmar,546487,593596,8.62
948,Sihui,China,562577,591080,5.07
949,Leipzig,Germany,585246,591052,0.99
950,Kagoshima,Japan,593758,591042,-0.46
951,Kingston,Jamaica,589849,590940,0.18
952,Sanliurfa,Turkey,584693,590522,1.00
953,Malaga,Spain,588778,590032,0.21
954,Uvira,Dr Congo,557567,589731,5.77
955,Dortmund,Germany,589457,589600,0.02
956,Milwaukee,United States,5157,588939,-0.21
957,Comilla,Bangladesh,568563,588772,3.55
958,Cuiaba,Brazil,585825,588566,0.47
959,Xiantao,China,583836,588540,0.81
960,Mathura,India,573517,588334,2.58
961,Enshi,China,553318,586667,6.03
962,Ibague,Colombia,5817,586187,0.76
963,Catania,Italy,585825,585877,0.01
964,Shishi,China,572218,585317,2.29
965,Fuqing,China,5716,584631,2.26
966,Baltimore,United States,5934,584537,-1.51
967,Sangli,India,575879,583629,1.35
968,Essen,Germany,582777,582128,-0.11
969,Pereira,Colombia,579577,579620,0.01
970,Calabar,Nigeria,554887,579273,4.39
971,Toulon,France,5771,579095,0.33
972,Qitaihe,China,5264,578992,1.53
973,Samarkand,Uzbekistan,565832,578762,2.29
974,Daye,China,563779,578374,2.59
975,Samut Sakhon,Thailand,54,578273,1.36
976,Cabimas,Venezuela,567757,578222,1.84
977,Hamadan,Iran,571287,577808,1.14
978,Jingjiang,China,555332,577513,3.99
979,Sanhe,China,5471,576241,5.31
980,Djibouti,Djibouti,5684,576157,1.29
981,Xinmi,China,5497,575696,4.72
982,Imphal,India,557632,575625,3.23
983,Juiz De Fora,Brazil,569996,575481,0.96
984,Dresden,Germany,569424,575476,1.06
985,Agartala,India,5540,575073,3.67
986,Tonghua,China,5608,572967,1.95
987,Abakaliki,Nigeria,5458,572028,5.33
988,Bouake,Ivory Coast,564745,571876,1.26
989,Udon Thani,Thailand,5630,570115,1.16
990,Beira,Mozambique,556499,569911,2.41
991,Udaipur,India,5587,569224,1.88
992,Vellore,India,559693,569048,1.67
993,Orenburg,Russia,568599,568812,0.04
994,Anyang,South Korea,571888,567945,-0.69
995,Ardabil,Iran,557544,567912,1.86
996,Likasi,Dr Congo,5515,567839,2.96
997,Bloemfontein,South Africa,5564,567029,1.90
998,Dongyang,China,553572,566083,2.26
999,Mbeya,Tanzania,5637,566065,4.70
1000,Hebi,China,555886,565986,1.82
1001,Kemerovo,Russia,564347,565759,0.25
1002,Tirunelveli,India,558182,565735,1.35
1003,Cenxi,China,537757,565509,5.16
1004,Yazd,Iran,555793,565449,1.74
1005,Bremen,Germany,5642,565354,0.19
1006,Gaya,India,5553,565253,1.78
1007,Poza Rica De Hidalgo,Mexico,558965,564578,1.00
1008,Jalgaon,India,552922,564540,2.10
1009,Shuozhou,China,542198,563456,3.92
1010,Santa Fe,Argentina,555753,562917,1.29
1011,Matamoros,Mexico,554922,562755,1.41
1012,Kitchener,Canada,553973,562466,1.53
1013,Zaoyang,China,548745,562379,2.48
1014,Albuquerque,United States,5513,561397,0.16
1015,Sanmenxia,China,543195,561369,3.35
1016,Cangzhou,China,553694,560962,1.31
1017,Thoothukkudi,India,543853,560930,3.14
1018,Xinyi,China,541482,559613,3.35
1019,Basel,Switzerland,555469,559027,0.64
1020,Yiyang Hunan,China,5947,558615,3.27
1021,Oujda,Morocco,546962,558524,2.11
1022,Gomel,Belarus,552354,557589,0.95
1023,Irbid,Jordan,553576,556899,0.60
1024,Al Mansurah,Egypt,546574,555621,1.66
1025,Karbala,Iraq,545987,555073,1.66
1026,Meknes,Morocco,547396,553755,1.16
1027,Weinan,China,542115,553302,2.06
1028,Leicester,United Kingdom,547352,552178,0.88
1029,Jiaozhou,China,5348,551500,3.16
1030,Ogbomosho,Nigeria,527194,551474,4.61
1031,Feicheng,China,542285,551319,1.67
1032,Arak,Iran,542824,551006,1.51
1033,Novokuznetsk,Russia,551987,550575,-0.26
1034,Zhaodong,China,527598,550240,4.29
1035,Chiang Rai,Thailand,542578,549966,1.36
1036,Kota Kinabalu,Malaysia,536285,549586,2.48
1037,Hamhung,North Korea,553224,548992,-0.76
1038,Panipat,India,536422,547952,2.15
1039,Khamis Mushayt,Saudi Arabia,5396,547724,1.45
1040,Kahramanmaras,Turkey,533434,546688,2.48
1041,Tongchuan,China,537167,546649,1.77
1042,Tepic,Mexico,533572,545941,2.32
1043,Utrecht,Netherlands,536473,544389,1.48
1044,Shouguang,China,5363,544207,1.47
1045,Port Of Spain,Trinidad And Tobago,544259,544207,-0.01
1046,Villavicencio,Colombia,5342,544115,1.84
1047,Rajahmundry,India,536298,543729,1.39
1048,Ndola,Zambia,5347,542495,2.16
1049,Kerman,Iran,539893,541485,0.29
1050,Tucson,United States,541482,541482,0.00
1051,Dengfeng,China,9717,540789,6.10
1052,Ryazan,Russia,52,540317,-0.03
1053,Sakarya,Turkey,524986,539445,2.75
1054,Guangyuan,China,55,539179,3.51
1055,Chaoyang,China,531831,539052,1.36
1056,Vilnius,Lithuania,537563,538894,0.25
1057,Rayong,Thailand,5921,538150,1.36
1058,Gaozhou,China,512852,537329,4.77
1059,Hannover,Germany,536498,536976,0.09
1060,San Juan,Argentina,532634,536913,0.80
1061,Edinburgh,United Kingdom,5741,536775,1.14
1062,Cuito,Angola,1936,535407,6.67
1063,Astrakhan,Russia,535191,534947,-0.05
1064,Naberezhnye Tchelny,Russia,5347,534726,0.08
1065,Sukkur,Pakistan,524179,534486,1.97
1066,Larkana,Pakistan,519899,534288,2.77
1067,Valledupar,Colombia,5181,533453,2.95
1068,Bamenda,Cameroon,5138,533257,3.78
1069,Basilan City,Philippines,517687,533135,2.98
1070,Abeokuta,Nigeria,523653,532856,1.76
1071,Mazar E Sharif,Afghanistan,1665,532689,6.18
1072,Poznan,Poland,533731,531030,-0.51
1073,Namangan,Uzbekistan,52,528763,1.47
1074,Imus,Philippines,13,527779,5.28
1075,Grenoble,France,524853,527720,0.55
1076,Haining,China,512822,527655,2.89
1077,Santa Marta,Colombia,56,527326,1.28
1078,Surakarta,Indonesia,523581,527279,0.71
1079,Pietermaritzburg,South Africa,521419,526912,1.05
1080,Yongkang,China,8796,526069,3.39
1081,Pingdu,China,5125,525093,2.15
1082,Fresno,United States,52,525010,0.00
1083,Taishan,China,5086,524937,2.91
1084,Calamba,Philippines,9898,524577,2.88
1085,Mekele,Ethiopia,5485,523914,3.65
1086,Heyuan,China,515422,523818,1.63
1087,Ar Rusayfah,Jordan,5419,523543,0.60
1088,Penza,Russia,524131,523092,-0.20
1089,Utsunomiya,Japan,522331,522100,-0.04
1090,Chuzhou,China,7265,522062,2.92
1091,Vale Do Aco,Brazil,517889,521744,0.74
1092,Al Raqqa,Syria,513163,521537,1.63
1093,Bellary,India,8535,520926,2.44
1094,Longkou,China,54,520568,2.98
1095,Qingzhou,China,4795,520371,3.09
1096,Kalasin,Thailand,5681,517635,1.36
1097,Al Mahallah Al Kubra,Egypt,5117,517549,1.13
1098,Sheikhupura,Pakistan,4174,517342,2.61
1099,Cuautla Morelos,Mexico,21,516755,1.72
1100,Puerto Vallarta,Mexico,12,515909,2.92
1101,Atlanta,United States,6811,515439,1.70
1102,Duisburg,Germany,5611,515076,0.87
1103,Balashikha,Russia,0,514662,0
1104,Dali,China,0,514610,0
1105,Shizuishan,China,1894,514455,2.50
1106,Kakinada,India,6331,514227,1.56
1107,Ambon,Indonesia,0,513457,0
1108,Diwaniyah,Iraq,0,513369,0
1109,Songyuan,China,78,513231,1.15
1110,Kirov,Russia,5777,513003,0.44
1111,Nurenberg,Germany,5122,511941,-0.02
1112,Davanagere,India,3318,511843,1.69
1113,Qianjiang,China,3238,511738,1.69
1114,Gongyi,China,0,511410,0
1115,Van,Turkey,0,511391,0
1116,Shangyu,China,0,510813,0
1117,Uige,Angola,0,510631,0
1118,Porto Velho,Brazil,0,510419,0
1119,Changning,China,0,510275,0
1120,Matsuyama,Japan,511745,509958,-0.35
1121,Angeles City,Philippines,0,509765,0
1122,Rustenburg,South Africa,0,509368,0
1123,Gombe,Nigeria,0,508575,0
1124,Londonca,Canada,5325,508230,0.57
1125,Gaoyou,China,0,507934,0
1126,Yanshi,China,0,507643,0
1127,Kikwit,Dr Congo,0,507462,0
1128,Lipetsk,Russia,8968,507291,-0.33
1129,Al Mukalla,Yemen,0,506356,0
1130,Cheboksary,Russia,2323,505870,0.71
1131,Bournemouth,United Kingdom,1288,505687,0.88
1132,Laixi,China,0,505117,0
1133,Mataram,Indonesia,0,505024,0
1134,Karaganda,Kazakhstan,5426,504946,-0.09
1135,Muzaffarpur,India,0,504158,0
1136,El Djelfa,Algeria,0,503397,0
1137,Nakhon Pathom,Thailand,0,503271,0
1138,Shuangyashan,China,0,503179,0
1139,Kuantan,Malaysia,0,502866,0
1140,Khon Kaen,Thailand,0,502594,0
1141,Tanta,Egypt,0,501423,0
1142,Sacramento,United States,09,500930,0.00
1143,Chuxiong,China,0,500867,0
1144,Douai Lens,France,78,500776,-0.06
1145,Ziyang,China,0,500094,0
